timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.00044237874659331175,0.0,0.4423787465933117,0.0,0.0,1.0,16.529166666666953,71.1314272349062,0.0,0.00044237874659331175,1.0,0.1504119422933338
t_1,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0004953400000000004,17461248.0,0.49534000000000034,1746124.8,0.0,1.0,17.023611111111407,70.89013925285187,5.2961253406688614e-05,0.0004953400000000004,1.0,0.31697643799093395
t_2,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0005675517386652646,17448960.0,0.5675517386652646,1744896.0,0.0,1.0,17.178240740740208,71.56302686477802,7.221173866526424e-05,0.0005675517386652646,1.0,0.3414244021522937
t_3,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0006807406163553033,18436096.0,0.6807406163553033,1843609.6,0.0,1.0,17.143287037036288,70.97205122521869,0.00011318887769003866,0.0006807406163553033,1.0,0.38830781431009925
t_4,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0011031457620711345,18145280.0,1.1031457620711345,1814528.0,0.0,1.0,17.25879629629567,70.83061688611062,0.00042240514571583127,0.0011031457620711345,1.0,0.5294543768142751
t_5,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0011583610455993705,17244160.0,1.1583610455993705,1724416.0,0.0,1.0,17.401388888888334,70.98472034358049,5.5215283528236e-05,0.0011583610455993705,1.0,0.5405613949440888
t_6,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0012337806737616347,17653760.0,1.2337806737616346,1765376.0,0.0,1.0,18.701851851851472,72.01104387288201,7.541962816226414e-05,0.0012337806737616347,1.0,0.5696894149424283
t_7,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0012908598724109361,18026496.0,1.2908598724109361,1802649.6,0.0,1.0,19.152083333333564,71.3273362841301,5.707919864930146e-05,0.0012908598724109361,1.0,0.5922679249845767
t_8,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.001375599796079991,17772544.0,1.3755997960799908,1777254.4000000001,0.0,1.0,18.862268518518988,71.16913472920197,8.473992366905478e-05,0.001375599796079991,1.0,0.6189195260934941
t_9,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0014705572571178673,18108416.0,1.4705572571178673,1810841.6,0.0,1.0,18.449074074074062,71.07362906770533,9.495746103787639e-05,0.0014705572571178673,1.0,0.6540632840814051
t_10,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0012014438482330096,18526208.0,1.2014438482330096,1852620.8,0.0,1.0,17.353472222222507,70.53190556284245,-0.0002691134088848577,0.0012014438482330096,1.0,0.5661172999578474
t_11,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0011831044337503559,18784256.0,1.1831044337503558,1878425.6,0.0,1.0,17.11250000000021,70.04755542239515,-1.833941448265374e-05,0.0011831044337503559,1.0,0.5620771956154678
t_12,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0006617346488398887,18386944.0,0.6617346488398888,1838694.4000000001,19.0,1.0,16.883564814814363,69.80541783477021,-0.0005213697849104672,0.0006617346488398887,0.05,0.38142747247894515
t_13,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0005922724888821893,52387840.0,0.5922724888821893,5238784.0,19.0,1.0,16.6740740740739,70.10682790514504,-6.946215995769938e-05,0.0005922724888821893,1.0,0.6470836069627255
t_14,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0006075346154390944,52006912.0,0.6075346154390944,5200691.2,19.0,1.0,16.74768518518586,71.2535705298815,1.5262126556905083e-05,0.0006075346154390944,1.0,0.6490319694964434
t_15,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0006360511265977082,52408320.0,0.6360511265977082,5240832.0,19.0,1.0,16.762499999999974,70.27654911207472,2.8516511158613832e-05,0.0006360511265977082,1.0,0.6621428976542063
t_16,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0006543218675057182,52850688.0,0.6543218675057182,5285068.800000001,19.0,1.0,17.020601851851367,69.92638667498613,1.8270740908009992e-05,0.0006543218675057182,1.0,0.6721186711679074
t_17,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0007340556628520422,53149696.0,0.7340556628520422,5314969.600000001,19.0,1.0,16.60555555555557,70.68878273261639,7.973379534632397e-05,0.0007340556628520422,1.0,0.7017726412221206
t_18,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0007833956530678099,53547008.0,0.7833956530678099,5354700.800000001,19.0,1.0,16.661342592592348,71.31539182934323,4.9339990215767696e-05,0.0007833956530678099,1.0,0.7219288533409809
t_19,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008155150586928655,53256192.0,0.8155150586928656,5325619.2,19.0,2.0,17.621759259258795,70.66974157247498,3.211940562505562e-05,0.0008155150586928655,1.0,0.7303754688686978
t_20,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0007979603598666218,53850112.0,0.7979603598666217,5385011.2,19.0,2.0,17.598379629629974,69.80109484171973,-1.7554698826243754e-05,0.0007979603598666218,1.0,0.7294597145905843
t_21,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009053405672080408,53952512.0,0.9053405672080408,5395251.2,19.0,2.0,17.56435185185316,69.41817261336425,0.00010738020734141901,0.0009053405672080408,1.0,0.7668409557376801
t_22,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0010737865791238586,54517760.0,1.0737865791238586,5451776.0,19.0,2.0,17.677314814815574,70.35058973871381,0.00016844601191581788,0.0010737865791238586,1.0,0.8289228388685956
t_23,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0010802851352295813,54153216.0,1.0802851352295813,5415321.600000001,19.0,2.0,17.385648148147766,69.9577970926997,6.498556105722633e-06,0.0010802851352295813,1.0,0.8280309169313359
t_24,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0010776652450144965,54439936.0,1.0776652450144966,5443993.600000001,19.0,2.0,17.132870370371037,69.7039899226784,-2.619890215084736e-06,0.0010776652450144965,1.0,0.8295794998650947
t_25,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0011457520232631064,54829056.0,1.1457520232631064,5482905.600000001,19.0,2.0,17.365972222223036,69.7671356072943,6.808677824860984e-05,0.0011457520232631064,1.0,0.8560400580604437
t_26,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0011021063571924337,55226368.0,1.1021063571924337,5522636.800000001,19.0,2.0,18.067361111110998,70.79103526187967,-4.364566607067272e-05,0.0011021063571924337,1.0,0.8445804810502626
t_27,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009795657239552176,55431168.0,0.9795657239552176,5543116.800000001,19.0,2.0,18.027083333333422,70.04942955233034,-0.0001225406332372161,0.0009795657239552176,1.0,0.8046581911985778
t_28,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0010000526567063711,55037952.0,1.0000526567063712,5503795.2,19.0,2.0,17.89004629629642,69.80339377444021,2.0486932751153557e-05,0.0010000526567063711,1.0,0.8082784810726537
t_29,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009923743076152515,55390208.0,0.9923743076152515,5539020.800000001,19.0,2.0,17.68749999999912,70.3097087177278,-7.678349091119622e-06,0.0009923743076152515,1.0,0.8086647207574977
t_30,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009063450733178045,55586816.0,0.9063450733178046,5558681.600000001,19.0,2.0,17.750925925925515,71.30232289659526,-8.602923429744695e-05,0.0009063450733178045,1.0,0.7810868719262225
t_31,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009188146574520479,56504320.0,0.9188146574520479,5650432.0,19.0,,,,1.2469584134243341e-05,0.0009188146574520479,1.0,0.7931325858311238
t_32,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008252597972590348,55414784.0,0.8252597972590348,5541478.4,19.0,,,,-9.35548601930131e-05,0.0008252597972590348,1.0,0.7520536786859399
t_33,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008257963718427175,56270848.0,0.8257963718427175,5627084.800000001,19.0,,,,5.365745836826991e-07,0.0008257963718427175,1.0,0.7595193629390781
t_34,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008477080133175284,57114624.0,0.8477080133175283,5711462.4,19.0,,,,2.191164147481088e-05,0.0008477080133175284,1.0,0.7741481788426099
t_35,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008645134367602599,57659392.0,0.8645134367602599,5765939.2,19.0,,,,1.680542344273156e-05,0.0008645134367602599,1.0,0.7844969354842586
t_36,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008754701695503764,58109952.0,0.8754701695503764,5810995.2,19.0,,,,1.0956732790116464e-05,0.0008754701695503764,1.0,0.7920555899776127
t_37,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008772859647449476,57655296.0,0.8772859647449476,5765529.600000001,19.0,,,,1.8157951945711693e-06,0.0008772859647449476,1.0,0.7888048384173486
t_38,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008423021809840226,57884672.0,0.8423021809840227,5788467.2,19.0,,,,-3.498378376092491e-05,0.0008423021809840226,1.0,0.7788615928711697
t_39,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008842972609674759,58232832.0,0.8842972609674759,5823283.2,19.0,,,,4.1995079983453204e-05,0.0008842972609674759,1.0,0.7961023061551813
t_40,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0008845642049234865,58601472.0,0.8845642049234865,5860147.2,19.0,,,,2.6694395601064777e-07,0.0008845642049234865,1.0,0.7993293946324547
t_41,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009154484608732853,58040320.0,0.9154484608732854,5804032.0,19.0,,,,3.08842559497988e-05,0.0009154484608732853,1.0,0.8050560783025151
t_42,paymentservice_browsing_replicas_2_users_20,paymentservice,browsing,2,20,0.0009146457416158017,58769408.0,0.9146457416158017,5876940.800000001,19.0,,,,-8.02719257483593e-07,0.0009146457416158017,1.0,0.8109861031213461
