timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.003427645984763158,75673600.0,3.427645984763158,7567360.0,16.0,4.0,14.243055555554946,65.80954791737935,0.0,0.003427645984763158,1.0,0.8833163719673072
t_1,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0034477132527853567,75788288.0,3.447713252785357,7578828.800000001,16.0,4.0,14.812037037037484,66.51679457811711,2.0067268022198534e-05,0.0034477132527853567,1.0,0.8868011397405573
t_2,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0033348008846048314,75800576.0,3.3348008846048316,7580057.600000001,16.0,4.0,15.13981481481433,67.37684529956968,-0.0001129123681805253,0.0033348008846048314,1.0,0.8705713737524136
t_3,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0034534230130988963,76017664.0,3.453423013098896,7601766.4,16.0,4.0,15.452083333332965,65.729010306965,0.00011862212849406487,0.0034534230130988963,1.0,0.8888032923614346
t_4,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.003445647445334224,76034048.0,3.445647445334224,7603404.800000001,16.0,4.0,15.708101851851097,65.53025258023962,-7.775567764672312e-06,0.003445647445334224,1.0,0.8877654641942067
t_5,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.003465081738845412,76144640.0,3.465081738845412,7614464.0,16.0,4.0,16.66481481481577,66.40569615555978,1.943429351118804e-05,0.003465081738845412,1.0,0.8911378555798687
t_6,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0033725374263888558,76271616.0,3.3725374263888557,7627161.600000001,16.0,4.0,16.61319444444416,67.18328515986454,-9.254431245655625e-05,0.0033725374263888558,1.0,0.8784362600498814
t_7,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0033713218865522882,76386304.0,3.371321886552288,7638630.4,16.0,4.0,16.444675925925665,65.92504429818456,-1.2155398365675321e-06,0.0033713218865522882,1.0,0.878849988023381
t_8,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0033109456716120763,76406784.0,3.3109456716120764,7640678.4,16.0,4.0,16.525000000000446,65.8371600984243,-6.03762149402119e-05,0.0033109456716120763,1.0,0.8702430981567586
t_9,adservice_checkout_replicas_1_users_50,adservice,checkout,1,50,0.0033753038161818153,76619776.0,3.375303816181815,7661977.600000001,16.0,4.0,16.440972222222896,66.43925557559902,6.435814456973903e-05,0.0033753038161818153,1.0,0.8806238605375771
