timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0024050378034799454,46936064.0,2.4050378034799453,4693606.4,15.0,1.0,6.4965277777773025,65.80030220969914,0.0,0.0024050378034799454,1.0,0.9886091097946557
t_1,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0023980865005632864,46936064.0,2.3980865005632865,4693606.4,15.0,1.0,6.648611111111137,65.96837418228587,-6.951302916659036e-06,0.0023980865005632864,1.0,0.9871889765665385
t_2,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0023838478682204505,46936064.0,2.3838478682204505,4693606.4,15.0,1.0,6.543055555555966,65.22549406438061,-1.423863234283583e-05,0.0023838478682204505,1.0,0.9842800607624893
t_3,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.002398965607526246,46936064.0,2.398965607526246,4693606.4,15.0,1.0,6.542592592592243,64.57617051283941,1.5117739305795658e-05,0.002398965607526246,1.0,0.9873685758480166
t_4,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0024142794366905033,46936064.0,2.4142794366905034,4693606.4,15.0,1.0,6.460185185185566,65.02731107083537,1.531382916425709e-05,0.0024142794366905033,1.0,0.9904971515850558
t_5,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.002439561936024948,46936064.0,2.439561936024948,4693606.4,15.0,1.0,6.629629629629832,66.2988957376538,2.528249933444462e-05,0.002439561936024948,1.0,0.9956623008851454
t_6,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0024197207233855873,46936064.0,2.4197207233855873,4693606.4,15.0,1.0,6.575694444444267,64.51582352892669,-1.984121263936059e-05,0.0024197207233855873,1.0,0.991608792400029
t_7,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.002438463984463494,46936064.0,2.438463984463494,4693606.4,15.0,1.0,6.632870370369545,64.69261645281178,1.8743261077906574e-05,0.002438463984463494,1.0,0.9954379922175505
t_8,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0024474122494393567,46936064.0,2.4474122494393566,4693606.4,15.0,1.0,6.578009259259886,65.11759415691266,8.948264975862808e-06,0.0024474122494393567,1.0,0.99726609963548
t_9,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.002433824727860418,46936064.0,2.433824727860418,4693606.4,15.0,1.0,6.678240740740733,66.30314376550686,-1.3587521578938694e-05,0.002433824727860418,1.0,0.9944902040784378
t_10,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0023680709993069648,46936064.0,2.3680709993069646,4693606.4,15.0,1.0,7.284722222221816,67.61913281758943,-6.575372855345324e-05,0.0023680709993069648,1.0,0.9810568872008836
t_11,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.00236020564389245,46936064.0,2.36020564389245,4693606.4,15.0,1.0,7.987731481482314,66.59710729293926,-7.865355414514788e-06,0.00236020564389245,1.0,0.9794500154087863
t_12,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0023338898278066796,46936064.0,2.3338898278066798,4693606.4,15.0,1.0,9.092824074074016,67.14767669109617,-2.631581608577042e-05,0.0023338898278066796,1.0,0.9740737621658357
t_13,emailservice_browsing_replicas_1_users_50,emailservice,browsing,1,50,0.0023129601764740326,46936064.0,2.3129601764740326,4693606.4,15.0,1.0,10.118287037036026,66.92852843067607,-2.092965133264693e-05,0.0023129601764740326,1.0,0.969797888467516
