timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.00012334815570292965,7680000.0,0.12334815570292965,768000.0,0.0,1.0,13.38449074074046,70.53345484358887,0.0,0.00012334815570292965,1.0,0.4339108427788203
t_1,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0001876043076581904,8474624.0,0.1876043076581904,847462.4,0.0,1.0,13.351388888888863,70.78316391615192,6.425615195526074e-05,0.0001876043076581904,1.0,0.5119256279671448
t_2,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0002569625990547784,8527872.0,0.2569625990547784,852787.2000000001,0.0,1.0,13.387499999999918,71.72919971903045,6.935829139658801e-05,0.0002569625990547784,1.0,0.5589935396602348
t_3,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0003089829550010543,8425472.0,0.30898295500105427,842547.2000000001,0.0,1.0,13.350000000000023,71.26546500787009,5.202035594627588e-05,0.0003089829550010543,1.0,0.5877240439618414
t_4,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0003750591862406243,8437760.0,0.3750591862406243,843776.0,0.0,1.0,13.296527777777683,70.6765384170399,6.607623123957001e-05,0.0003750591862406243,1.0,0.6307899426605524
t_5,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.00046181431149892497,8597504.0,0.461814311498925,859750.4,0.0,1.0,13.425925925925512,70.61854034264593,8.675512525830069e-05,0.00046181431149892497,1.0,0.693963854771571
t_6,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0005145680824947728,8679424.0,0.5145680824947728,867942.4,0.0,1.0,13.62314814814799,71.54588482297093,5.275377099584784e-05,0.0005145680824947728,1.0,0.7316759068435613
t_7,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0005836673613658881,8699904.0,0.5836673613658881,869990.4,0.0,1.0,13.627777777777965,70.63648201322536,6.909927887111531e-05,0.0005836673613658881,1.0,0.7770643688654812
t_8,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0006644903630947297,8704000.0,0.6644903630947298,870400.0,0.0,1.0,13.635879629629699,70.63978048191127,8.082300172884162e-05,0.0006644903630947297,1.0,0.8292368060513464
t_9,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0006548361239757749,8630272.0,0.6548361239757748,863027.2000000001,0.0,1.0,13.596064814815037,70.56713920562379,-9.654239118954888e-06,0.0006548361239757749,1.0,0.8196235078931092
t_10,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0006743062018319722,8642560.0,0.6743062018319722,864256.0,0.0,1.0,13.705324074074142,72.06844222569671,1.9470077856197348e-05,0.0006743062018319722,1.0,0.8327134964060006
t_11,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0006876112118931255,8675328.0,0.6876112118931256,867532.8,0.0,1.0,13.60092592592595,70.92122482137668,1.3305010061153322e-05,0.0006876112118931255,1.0,0.8427838048377545
t_12,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0006632813032513122,8675328.0,0.6632813032513123,867532.8,0.0,1.0,13.549074074074156,70.59969908969761,-2.4329908641813284e-05,0.0006632813032513122,1.0,0.8271354171607663
t_13,checkoutservice_checkout_replicas_2_users_30,checkoutservice,checkout,2,30,0.0007028840222085132,8691712.0,0.7028840222085132,869171.2000000001,0.0,1.0,13.656944444444434,71.36169533294168,3.9602718957200975e-05,0.0007028840222085132,1.0,0.8533633234397304
