timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.0034274897019580513,17301504.0,3.4274897019580512,1730150.4000000001,13.0,1.0,8.109490740740938,70.91055477494574,0.0,0.0034274897019580513,1.0,0.4626612503187941
t_1,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.0037313375,25337856.0,3.7313375,2533785.6,13.0,1.0,8.103703703703658,70.2708017802735,0.0003038477980419488,0.0037313375,1.0,0.5759950407360538
t_2,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.0047041402791911996,26206208.0,4.7041402791912,2620620.8000000003,13.0,1.0,8.213194444444298,71.45467716612562,0.0009728027791911995,0.0047041402791911996,1.0,0.6623533940008486
t_3,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.005060772567757428,30392320.0,5.060772567757428,3039232.0,13.0,1.0,8.00023148148145,69.91139363550471,0.00035663228856622816,0.005060772567757428,1.0,0.7370282932606786
t_4,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.005147513386810446,30875648.0,5.147513386810446,3087564.8000000003,13.0,1.0,8.12870370370365,70.75677616666462,8.67408190530182e-05,0.005147513386810446,1.0,0.7492427628700729
t_5,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.005875610304075472,31506432.0,5.875610304075472,3150643.2,13.0,1.0,8.153935185185176,70.35658695450637,0.0007280969172650262,0.005875610304075472,1.0,0.8136650827981203
t_6,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.0060792847222513385,32579584.0,6.079284722251338,3257958.4000000004,13.0,1.0,8.22476851851846,71.84107278196097,0.00020367441817586637,0.0060792847222513385,1.0,0.8416589829001961
t_7,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.006272439467030235,32931840.0,6.272439467030235,3293184.0,13.0,2.0,8.403009259259264,71.34570275749483,0.0001931547447788966,0.006272439467030235,1.0,0.8608059635736471
t_8,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.006341532758790009,33124352.0,6.3415327587900086,3312435.2,13.0,2.0,8.56018518518512,70.81627354500674,6.909329175977356e-05,0.006341532758790009,1.0,0.8683946793002916
t_9,cartservice_checkout_replicas_2_users_75,cartservice,checkout,2,75,0.00462272386470437,33583104.0,4.62272386470437,3358310.4000000004,13.0,2.0,8.318287037036995,70.51716240735239,-0.0017188088940856385,0.00462272386470437,1.0,0.7379767315378951
