timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.0031978690744297517,17301504.0,3.1978690744297515,1730150.4000000001,13.0,1.0,7.943981481481529,70.37957628171122,0.0,0.0031978690744297517,1.0,0.447240546270737
t_1,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.004073513181617025,25337856.0,4.073513181617026,2533785.6,13.0,1.0,8.005092592592504,71.48606259544007,0.0008756441071872735,0.004073513181617025,1.0,0.6063926649499336
t_2,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.004568840068389426,26206208.0,4.568840068389426,2620620.8000000003,13.0,1.0,7.994444444444412,71.3600211101996,0.0004953268867724011,0.004568840068389426,1.0,0.6555199937032525
t_3,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.004947971455125215,30392320.0,4.947971455125215,3039232.0,13.0,1.0,7.893287037037112,70.70572486723039,0.0003791313867357888,0.004947971455125215,1.0,0.7322870257136195
t_4,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.005053968326525414,30875648.0,5.053968326525414,3087564.8000000003,13.0,1.0,8.109490740740938,70.91055477494574,0.00010599687140019909,0.005053968326525414,1.0,0.7461087019190589
t_5,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.005785225878601455,31506432.0,5.785225878601455,3150643.2,13.0,1.0,8.103703703703658,70.2708017802735,0.000731257552076041,0.005785225878601455,1.0,0.8113939285618218
t_6,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.005998199392945684,32579584.0,5.998199392945684,3257958.4000000004,13.0,1.0,8.213194444444298,71.45467716612562,0.00021297351434422865,0.005998199392945684,1.0,0.8402997559483121
t_7,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.006198576742817377,32931840.0,6.198576742817377,3293184.0,13.0,1.0,8.00023148148145,69.91139363550471,0.0002003773498716931,0.006198576742817377,1.0,0.8601843710712829
t_8,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.006274743002447645,33124352.0,6.274743002447645,3312435.2,13.0,1.0,8.12870370370365,70.75677616666462,7.616625963026771e-05,0.006274743002447645,1.0,0.8683946793002916
t_9,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.00462272386470437,33583104.0,4.62272386470437,3358310.4000000004,13.0,1.0,8.153935185185176,70.35658695450637,-0.0016520191377432745,0.00462272386470437,1.0,0.7418563376261433
t_10,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.005532737021553522,33955840.0,5.5327370215535225,3395584.0,13.0,1.0,8.22476851851846,71.84107278196097,0.000910013156849152,0.005532737021553522,1.0,0.8185157241702106
t_11,cartservice_checkout_replicas_2_users_50,cartservice,checkout,2,50,0.004542703881796916,34996224.0,4.542703881796916,3499622.4000000004,13.0,2.0,8.403009259259264,71.34570275749483,-0.000990033139756606,0.004542703881796916,1.0,0.751196090093647
